Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.8180,0.1948,0.2098,0.3152,0.4002
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.4694,0.2034,0.2098,0.3152,0.4002
COSIACTTECBB,COSIATEC,BB,,,CT,,0.7537,0.2634,0.3293,0.3400,0.4460
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.4316,0.2970,0.3293,0.3400,0.4460
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.4516,0.5896,0.6906,0.4846,0.5779
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.3402,0.5936,0.6906,0.4846,0.5786
COSIARCTTEC,COSIATEC,,,,CT,R,0.8180,0.1948,0.2098,0.3152,0.4002
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.4694,0.2034,0.2098,0.3152,0.4002
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.7537,0.2634,0.3293,0.3400,0.4460
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.4316,0.2970,0.3293,0.3400,0.4460
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.4516,0.5896,0.6906,0.4846,0.5757
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.3402,0.5936,0.6906,0.4846,0.5780
COSIARTEC,COSIATEC,,,,,R,0.6877,0.1960,0.1490,0.1452,0.3290
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.4762,0.1587,0.1485,0.1452,0.3109
COSIARTECBB,COSIATEC,BB,,,,R,0.6280,0.4894,0.5501,0.3386,0.4779
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.4920,0.5662,0.4958,0.3386,0.5062
COSIARTECSegment,COSIATEC,Segment,,,,R,0.4471,0.6629,0.7946,0.3226,0.6258
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.3417,0.7548,0.7925,0.3226,0.6815
COSIATEC,COSIATEC,,,,,,0.5766,0.1978,0.2635,0.2009,0.3725
COSIATEC-RRT,COSIATEC,,,RRT,,,0.4762,0.1599,0.1682,0.2009,0.3725
COSIATECBB,COSIATEC,BB,,,,,0.5158,0.6786,0.5744,0.3260,0.5506
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.4920,0.4891,0.3961,0.3260,0.5506
COSIATECSegment,COSIATEC,Segment,,,,,0.4210,0.8380,0.7848,0.3437,0.6925
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.3417,0.7594,0.6625,0.3437,0.6873
Forth,Forth,,,,,,0.2157,0.4854,0.2912,0.3141,0.3679
Forth-RRT,Forth,,,RRT,,,0.1692,0.4093,0.2899,0.3141,0.3683
ForthBB,Forth,BB,,,,,0.2148,0.4701,0.3464,0.2521,0.4104
ForthBB-RRT,Forth,BB,,RRT,,,0.1816,0.4085,0.3487,0.2521,0.4104
ForthCT,Forth,,,,CT,,0.5468,0.7213,0.4843,0.3362,0.6725
ForthCT-RRT,Forth,,,RRT,CT,,0.5121,0.5471,0.4843,0.3362,0.6725
ForthCTBB,Forth,BB,,,CT,,0.5200,0.7156,0.5689,0.3196,0.6742
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.5200,0.5470,0.5689,0.3196,0.6742
ForthCTSegment,Forth,Segment,,,CT,,0.3867,0.7160,0.5867,0.3166,0.6754
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.4418,0.5524,0.5867,0.3166,0.6754
ForthR,Forth,,,,,R,0.3886,0.3545,0.2858,0.3196,0.3700
ForthR-RRT,Forth,,,RRT,,R,0.3886,0.3529,0.2873,0.3196,0.3700
ForthRBB,Forth,BB,,,,R,0.3592,0.4273,0.3509,0.2498,0.4096
ForthRBB-RRT,Forth,BB,,RRT,,R,0.3592,0.4288,0.3509,0.2498,0.4096
ForthRCT,Forth,,,,CT,R,0.5468,0.7213,0.4843,0.3362,0.6725
ForthRCT-RRT,Forth,,,RRT,CT,R,0.5121,0.5471,0.4843,0.3362,0.6725
ForthRCTBB,Forth,BB,,,CT,R,0.5200,0.7156,0.5689,0.3196,0.6742
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.5200,0.5470,0.5689,0.3196,0.6742
ForthRCTSegment,Forth,Segment,,,CT,R,0.3867,0.7160,0.5867,0.3166,0.6754
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.4418,0.5524,0.5867,0.3166,0.6754
ForthRSegment,Forth,Segment,,,,R,0.3661,0.4650,0.3902,0.2581,0.4474
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.3661,0.4656,0.3874,0.2581,0.4474
ForthSegment,Forth,Segment,,,,,0.2844,0.4816,0.4477,0.2468,0.4595
ForthSegment-RRT,Forth,Segment,,RRT,,,0.2909,0.4150,0.4260,0.2468,0.4595
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.8180,0.1948,0.2098,0.3152,0.4002
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.4694,0.2034,0.2098,0.3152,0.4002
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.7537,0.2634,0.3293,0.3400,0.4460
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.4316,0.2970,0.3293,0.3400,0.4460
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.4516,0.5896,0.7066,0.4846,0.5779
